CostID,SchoolYear,SchoolState,EducationLevel,AverageTotalDegreeCost
1,2021,Alabama,Associate Degree,15130
2,2021,Alabama,Bachelor's Degree,100965
3,2021,Alabama,Doctoral Degree,220035
4,2021,Alabama,Master's Degree,71808
5,2021,Alaska,Bachelor's Degree,107425
6,2021,Alaska,Doctoral Degree,222148
7,2021,Alaska,Master's Degree,68331
8,2021,Arizona,Associate Degree,9087
9,2021,Arizona,Bachelor's Degree,99776
10,2021,Arizona,Doctoral Degree,203570
11,2021,Arizona,Master's Degree,68113
12,2021,Arkansas,Associate Degree,8329
13,2021,Arkansas,Bachelor's Degree,99733
14,2021,Arkansas,Doctoral Degree,225665
15,2021,Arkansas,Master's Degree,69280
16,2021,California,Associate Degree,9776
17,2021,California,Bachelor's Degree,159075
18,2021,California,Doctoral Degree,220290
19,2021,California,Master's Degree,73372
20,2021,Colorado,Associate Degree,12357
21,2021,Colorado,Bachelor's Degree,125128
22,2021,Colorado,Doctoral Degree,215133
23,2021,Colorado,Master's Degree,69200
24,2021,Connecticut,Associate Degree,18005
25,2021,Connecticut,Bachelor's Degree,164619
26,2021,Connecticut,Doctoral Degree,223618
27,2021,Connecticut,Master's Degree,67855
28,2021,Delaware,Bachelor's Degree,112784
29,2021,Delaware,Doctoral Degree,225650
30,2021,Delaware,Master's Degree,71580
31,2021,District of Columbia,Bachelor's Degree,149832
32,2021,District of Columbia,Doctoral Degree,221008
33,2021,District of Columbia,Master's Degree,66396
34,2021,Florida,Associate Degree,11617
35,2021,Florida,Bachelor's Degree,109561
36,2021,Florida,Doctoral Degree,214703
37,2021,Florida,Master's Degree,68754
38,2021,Georgia,Associate Degree,11704
39,2021,Georgia,Bachelor's Degree,119239
40,2021,Georgia,Doctoral Degree,220678
41,2021,Georgia,Master's Degree,71272
42,2021,Hawaii,Associate Degree,11604
43,2021,Hawaii,Bachelor's Degree,118161
44,2021,Hawaii,Doctoral Degree,219385
45,2021,Hawaii,Master's Degree,70230
46,2021,Idaho,Associate Degree,11567
47,2021,Idaho,Bachelor's Degree,77269
48,2021,Idaho,Doctoral Degree,220785
49,2021,Idaho,Master's Degree,66238
50,2021,Illinois,Associate Degree,15346
51,2021,Illinois,Bachelor's Degree,135719
52,2021,Illinois,Doctoral Degree,224275
53,2021,Illinois,Master's Degree,69357
54,2021,Indiana,Associate Degree,13564
55,2021,Indiana,Bachelor's Degree,132017
56,2021,Indiana,Doctoral Degree,229413
57,2021,Indiana,Master's Degree,72997
58,2021,Iowa,Associate Degree,12255
59,2021,Iowa,Bachelor's Degree,125197
60,2021,Iowa,Doctoral Degree,228760
61,2021,Iowa,Master's Degree,69314
62,2021,Kansas,Associate Degree,8476
63,2021,Kansas,Bachelor's Degree,105715
64,2021,Kansas,Doctoral Degree,217680
65,2021,Kansas,Master's Degree,68634
66,2021,Kentucky,Associate Degree,19779
67,2021,Kentucky,Bachelor's Degree,112011
68,2021,Kentucky,Doctoral Degree,209893
69,2021,Kentucky,Master's Degree,66123
70,2021,Louisiana,Associate Degree,10989
71,2021,Louisiana,Bachelor's Degree,132849
72,2021,Louisiana,Doctoral Degree,230593
73,2021,Louisiana,Master's Degree,73829
74,2021,Maine,Associate Degree,10603
75,2021,Maine,Bachelor's Degree,138155
76,2021,Maine,Doctoral Degree,226358
77,2021,Maine,Master's Degree,72431
78,2021,Maryland,Associate Degree,14992
79,2021,Maryland,Bachelor's Degree,147291
80,2021,Maryland,Doctoral Degree,219825
81,2021,Maryland,Master's Degree,69302
82,2021,Massachusetts,Associate Degree,16209
83,2021,Massachusetts,Bachelor's Degree,168744
84,2021,Massachusetts,Doctoral Degree,211735
85,2021,Massachusetts,Master's Degree,70713
86,2021,Michigan,Associate Degree,11463
87,2021,Michigan,Bachelor's Degree,137785
88,2021,Michigan,Doctoral Degree,233108
89,2021,Michigan,Master's Degree,67882
90,2021,Minnesota,Associate Degree,11557
91,2021,Minnesota,Bachelor's Degree,120583
92,2021,Minnesota,Doctoral Degree,221895
93,2021,Minnesota,Master's Degree,67075
94,2021,Mississippi,Associate Degree,9311
95,2021,Mississippi,Bachelor's Degree,92775
96,2021,Mississippi,Doctoral Degree,217280
97,2021,Mississippi,Master's Degree,68014
98,2021,Missouri,Associate Degree,10459
99,2021,Missouri,Bachelor's Degree,107795
100,2021,Missouri,Doctoral Degree,222528
101,2021,Missouri,Master's Degree,69814
102,2021,Montana,Associate Degree,13019
103,2021,Montana,Bachelor's Degree,117536
104,2021,Montana,Doctoral Degree,220768
105,2021,Montana,Master's Degree,72723
106,2021,Nebraska,Associate Degree,7135
107,2021,Nebraska,Bachelor's Degree,104591
108,2021,Nebraska,Doctoral Degree,203328
109,2021,Nebraska,Master's Degree,68294
110,2021,Nevada,Bachelor's Degree,115351
111,2021,Nevada,Doctoral Degree,223763
112,2021,Nevada,Master's Degree,71547
113,2021,New Hampshire,Associate Degree,22466
114,2021,New Hampshire,Bachelor's Degree,113737
115,2021,New Hampshire,Doctoral Degree,217960
116,2021,New Hampshire,Master's Degree,71011
117,2021,New Jersey,Associate Degree,13055
118,2021,New Jersey,Bachelor's Degree,145900
119,2021,New Jersey,Doctoral Degree,230173
120,2021,New Jersey,Master's Degree,73290
121,2021,New Mexico,Associate Degree,8002
122,2021,New Mexico,Bachelor's Degree,103804
123,2021,New Mexico,Doctoral Degree,214995
124,2021,New Mexico,Master's Degree,71212
125,2021,New York,Associate Degree,14450
126,2021,New York,Bachelor's Degree,146888
127,2021,New York,Doctoral Degree,227730
128,2021,New York,Master's Degree,71811
129,2021,North Carolina,Associate Degree,10985
130,2021,North Carolina,Bachelor's Degree,125424
131,2021,North Carolina,Doctoral Degree,217420
132,2021,North Carolina,Master's Degree,70557
133,2021,North Dakota,Associate Degree,11419
134,2021,North Dakota,Bachelor's Degree,74812
135,2021,North Dakota,Doctoral Degree,206313
136,2021,North Dakota,Master's Degree,67678
137,2021,Ohio,Associate Degree,12304
138,2021,Ohio,Bachelor's Degree,132495
139,2021,Ohio,Doctoral Degree,223148
140,2021,Ohio,Master's Degree,71609
141,2021,Oklahoma,Associate Degree,13514
142,2021,Oklahoma,Bachelor's Degree,106664
143,2021,Oklahoma,Doctoral Degree,228040
144,2021,Oklahoma,Master's Degree,65525
145,2021,Oregon,Associate Degree,13846
146,2021,Oregon,Bachelor's Degree,158141
147,2021,Oregon,Doctoral Degree,206623
148,2021,Oregon,Master's Degree,74126
149,2021,Pennsylvania,Associate Degree,18249
150,2021,Pennsylvania,Bachelor's Degree,142760
151,2021,Pennsylvania,Doctoral Degree,232028
152,2021,Pennsylvania,Master's Degree,71485
153,2021,Rhode Island,Associate Degree,17690
154,2021,Rhode Island,Bachelor's Degree,160401
155,2021,Rhode Island,Doctoral Degree,236625
156,2021,Rhode Island,Master's Degree,72444
157,2021,South Carolina,Associate Degree,15277
158,2021,South Carolina,Bachelor's Degree,122611
159,2021,South Carolina,Doctoral Degree,213770
160,2021,South Carolina,Master's Degree,69534
161,2021,South Dakota,Associate Degree,14550
162,2021,South Dakota,Bachelor's Degree,85980
163,2021,South Dakota,Doctoral Degree,226715
164,2021,South Dakota,Master's Degree,68666
165,2021,Tennessee,Associate Degree,21374
166,2021,Tennessee,Bachelor's Degree,116257
167,2021,Tennessee,Doctoral Degree,227473
168,2021,Tennessee,Master's Degree,68572
169,2021,Texas,Associate Degree,10592
170,2021,Texas,Bachelor's Degree,127964
171,2021,Texas,Doctoral Degree,201620
172,2021,Texas,Master's Degree,72240
173,2021,Utah,Associate Degree,16698
174,2021,Utah,Bachelor's Degree,71045
