CostID,SchoolYear,SchoolState,SchoolType,EducationLevel,AnnualTotalDegreeCost,EstimatedTotalDegreeCost
1,2021,Alabama,Private,Bachelor's Degree,27967,111868
2,2021,Alabama,Private,Doctoral Degree,55610,278050
3,2021,Alabama,Private,Master's Degree,46494,92988
4,2021,Alabama,Public In-State,Associate Degree,5048,10096
5,2021,Alabama,Public In-State,Bachelor's Degree,10376,41504
6,2021,Alabama,Public In-State,Doctoral Degree,32404,162020
7,2021,Alabama,Public In-State,Master's Degree,25314,50628
8,2021,Alabama,Public Out-of-State,Associate Degree,10082,20164
9,2021,Alabama,Public Out-of-State,Bachelor's Degree,37381,149524
10,2021,Alaska,Private,Bachelor's Degree,28362,113448
11,2021,Alaska,Private,Doctoral Degree,56104,280520
12,2021,Alaska,Private,Master's Degree,42312,84624
13,2021,Alaska,Public In-State,Bachelor's Degree,13336,53344
14,2021,Alaska,Public In-State,Doctoral Degree,32755,163775
15,2021,Alaska,Public In-State,Master's Degree,26019,52038
16,2021,Alaska,Public Out-of-State,Bachelor's Degree,38871,155484
17,2021,Arizona,Private,Bachelor's Degree,22862,91448
18,2021,Arizona,Private,Doctoral Degree,49744,248720
19,2021,Arizona,Private,Master's Degree,43319,86638
20,2021,Arizona,Public In-State,Associate Degree,2160,4320
21,2021,Arizona,Public In-State,Bachelor's Degree,13272,53088
22,2021,Arizona,Public In-State,Doctoral Degree,31684,158420
23,2021,Arizona,Public In-State,Master's Degree,24794,49588
24,2021,Arizona,Public Out-of-State,Associate Degree,6927,13854
25,2021,Arizona,Public Out-of-State,Bachelor's Degree,38698,154792
26,2021,Arkansas,Private,Bachelor's Degree,33614,134456
27,2021,Arkansas,Private,Doctoral Degree,56482,282410
28,2021,Arkansas,Private,Master's Degree,43426,86852
29,2021,Arkansas,Public In-State,Associate Degree,3484,6968
30,2021,Arkansas,Public In-State,Bachelor's Degree,9794,39176
31,2021,Arkansas,Public In-State,Doctoral Degree,33784,168920
32,2021,Arkansas,Public In-State,Master's Degree,25854,51708
33,2021,Arkansas,Public Out-of-State,Associate Degree,4845,9690
34,2021,Arkansas,Public Out-of-State,Bachelor's Degree,31392,125568
35,2021,California,Private,Bachelor's Degree,53680,214720
36,2021,California,Private,Doctoral Degree,56179,280895
37,2021,California,Private,Master's Degree,48265,96530
38,2021,California,Public In-State,Associate Degree,1285,2570
39,2021,California,Public In-State,Bachelor's Degree,15614,62456
40,2021,California,Public In-State,Doctoral Degree,31937,159685
41,2021,California,Public In-State,Master's Degree,25107,50214
42,2021,California,Public Out-of-State,Associate Degree,8491,16982
43,2021,California,Public Out-of-State,Bachelor's Degree,50012,200048
44,2021,Colorado,Private,Bachelor's Degree,36878,147512
45,2021,Colorado,Private,Doctoral Degree,55002,275010
46,2021,Colorado,Private,Master's Degree,42803,85606
47,2021,Colorado,Public In-State,Associate Degree,3468,6936
48,2021,Colorado,Public In-State,Bachelor's Degree,13019,52076
49,2021,Colorado,Public In-State,Doctoral Degree,31051,155255
50,2021,Colorado,Public In-State,Master's Degree,26397,52794
51,2021,Colorado,Public Out-of-State,Associate Degree,8889,17778
52,2021,Colorado,Public Out-of-State,Bachelor's Degree,43949,175796
53,2021,Connecticut,Private,Bachelor's Degree,58707,234828
54,2021,Connecticut,Private,Doctoral Degree,55010,275050
55,2021,Connecticut,Private,Master's Degree,43463,86926
56,2021,Connecticut,Public In-State,Associate Degree,4522,9044
57,2021,Connecticut,Public In-State,Bachelor's Degree,13938,55752
58,2021,Connecticut,Public In-State,Doctoral Degree,34437,172185
59,2021,Connecticut,Public In-State,Master's Degree,24392,48784
60,2021,Connecticut,Public Out-of-State,Associate Degree,13483,26966
61,2021,Connecticut,Public Out-of-State,Bachelor's Degree,50819,203276
62,2021,Delaware,Private,Bachelor's Degree,25743,102972
63,2021,Delaware,Private,Doctoral Degree,55741,278705
64,2021,Delaware,Private,Master's Degree,44487,88974
65,2021,Delaware,Public In-State,Bachelor's Degree,13518,54072
66,2021,Delaware,Public In-State,Doctoral Degree,34519,172595
67,2021,Delaware,Public In-State,Master's Degree,27093,54186
68,2021,Delaware,Public Out-of-State,Bachelor's Degree,45327,181308
69,2021,District of Columbia,Private,Bachelor's Degree,61912,247648
70,2021,District of Columbia,Private,Doctoral Degree,53438,267190
71,2021,District of Columbia,Private,Master's Degree,40686,81372
72,2021,District of Columbia,Public In-State,Doctoral Degree,34965,174825
73,2021,District of Columbia,Public In-State,Master's Degree,25710,51420
74,2021,District of Columbia,Public Out-of-State,Bachelor's Degree,13004,52016
75,2021,Florida,Private,Bachelor's Degree,41843,167372
76,2021,Florida,Private,Doctoral Degree,52136,260680
77,2021,Florida,Private,Master's Degree,43900,87800
78,2021,Florida,Public In-State,Associate Degree,2506,5012
79,2021,Florida,Public In-State,Bachelor's Degree,11003,44012
80,2021,Florida,Public In-State,Doctoral Degree,33745,168725
81,2021,Florida,Public In-State,Master's Degree,24854,49708
