CareerField,CareerLevel,EducationLevel,MonthlyIncome
Manufacturing,Entry,Associate Degree,4288
Engineering,Mid,Bachelor's Degree,7090
Construction,Entry,Associate Degree,4734
Media,Entry,Master's Degree,7082
Real Estate,Mid,High School,4753
Media,Mid,Bachelor's Degree,7422
Technology,Entry,Master's Degree,8075
Engineering,Entry,Bachelor's Degree,7199
Forestry,Mid,Master's Degree,7591
Agriculture,Entry,Bachelor's Degree,7432
Transportation,Senior,High School,3729
Finance,Senior,Bachelor's Degree,7288
Legal,Entry,Associate Degree,5101
Manufacturing,Senior,Bachelor's Degree,7505
Technology,Mid,Associate Degree,4862
Energy,Entry,Master's Degree,6407
Construction,Mid,Associate Degree,5491
Energy,Mid,Associate Degree,4645
Transportation,Senior,Master's Degree,8122
Mining,Entry,Master's Degree,7341
Technology,Entry,Associate Degree,5619
Fishing,Senior,Bachelor's Degree,7807
Logistics,Entry,Associate Degree,4561
Fishing,Mid,Associate Degree,5036
Agriculture,Mid,High School,3853
Logistics,Entry,Master's Degree,9342
Manufacturing,Mid,Bachelor's Degree,6723
Construction,Mid,PhD,8961
Technology,Mid,High School,4078
Technology,Entry,Associate Degree,4435
Manufacturing,Entry,Bachelor's Degree,8016
Agriculture,Senior,High School,4244
Construction,Mid,High School,3941
Legal,Mid,Master's Degree,8163
Logistics,Entry,Associate Degree,5565
Healthcare,Entry,Master's Degree,7030
Defense,Entry,Master's Degree,7110
Legal,Entry,Bachelor's Degree,6933
Engineering,Entry,Associate Degree,4195
Finance,Senior,Master's Degree,8154
Construction,Mid,Associate Degree,4452
Logistics,Entry,Bachelor's Degree,7687
Logistics,Mid,Associate Degree,4051
Logistics,Mid,High School,4821
Construction,Mid,Associate Degree,4751
Mining,Entry,Bachelor's Degree,6731
Forestry,Mid,High School,3804
Government,Entry,Master's Degree,9029
Healthcare,Mid,Associate Degree,4494
Fishing,Mid,Bachelor's Degree,5774
Manufacturing,Mid,High School,4348
Mining,Entry,Bachelor's Degree,7981
Media,Entry,Bachelor's Degree,7671
Agriculture,Mid,Bachelor's Degree,6842
Technology,Senior,Bachelor's Degree,7388
Mining,Mid,Associate Degree,4135
Engineering,Mid,Bachelor's Degree,7893
Government,Mid,Bachelor's Degree,5846
Government,Mid,Master's Degree,7530
Media,Mid,Master's Degree,8501
Retail,Mid,Associate Degree,5284
Mining,Senior,Associate Degree,5075
Healthcare,Entry,Associate Degree,4599
Legal,Entry,Bachelor's Degree,7016
Agriculture,Senior,Master's Degree,9162
Energy,Entry,High School,4447
Transportation,Entry,High School,3581
Manufacturing,Senior,Associate Degree,5080
Retail,Senior,Master's Degree,8072
Energy,Mid,Associate Degree,4940
Media,Mid,Bachelor's Degree,5557
Finance,Mid,Master's Degree,6916
Mining,Senior,Master's Degree,7321
Logistics,Mid,High School,3410
Forestry,Senior,Associate Degree,4358
Energy,Mid,Master's Degree,8676
Agriculture,Mid,Bachelor's Degree,6783
Government,Mid,Master's Degree,7752
Finance,Mid,Bachelor's Degree,7717
Real Estate,Senior,Bachelor's Degree,6336
Real Estate,Entry,Associate Degree,5273
Agriculture,Senior,High School,4226
Manufacturing,Entry,PhD,9421
Forestry,Mid,High School,4776
Healthcare,Entry,Associate Degree,4415
Media,Entry,Associate Degree,4803
Finance,Senior,Associate Degree,4128
Education,Senior,Master's Degree,8813
Logistics,Entry,Bachelor's Degree,7798
Fishing,Entry,Master's Degree,8801
Manufacturing,Mid,Associate Degree,4313
Forestry,Mid,Master's Degree,8126
Media,Mid,Bachelor's Degree,6757
Real Estate,Mid,Bachelor's Degree,7998
Transportation,Mid,Master's Degree,8061
Agriculture,Mid,Master's Degree,7268
Fishing,Mid,Master's Degree,6567
Healthcare,Mid,Associate Degree,4434
Transportation,Entry,Bachelor's Degree,5975
Retail,Entry,Associate Degree,5370
Mining,Entry,Bachelor's Degree,7814
Transportation,Mid,Bachelor's Degree,7604
Mining,Mid,Bachelor's Degree,7602
Retail,Mid,Bachelor's Degree,7108
Agriculture,Mid,Bachelor's Degree,7219
Fishing,Entry,Associate Degree,4753
Energy,Entry,Bachelor's Degree,5991
Legal,Mid,High School,3773
Education,Mid,High School,3711
Healthcare,Senior,Master's Degree,7971
Manufacturing,Mid,Master's Degree,7589
Construction,Senior,Bachelor's Degree,6571
